,Title,Release_Year,Run_Time(min),Director,Star,Genre,Rating
0,Der Pate,1972,175,Francis Ford Coppola,Marlon Brando,"Crime, Drama",9.2
1,Schindlers Liste,1993,195,Steven Spielberg,Liam Neeson,"Biography, Drama, History",9.0
2,Die zwölf Geschworenen,1957,96,Sidney Lumet,Henry Fonda,"Crime, Drama",9.0
3,Das Leben ist schön,1997,116,Roberto Benigni,Roberto Benigni,"Comedy, Drama, Romance",8.6
4,Zwei glorreiche Halunken,1966,161,Sergio Leone,Clint Eastwood,"Adventure, Western",8.8
5,Die Verurteilten,1994,142,Frank Darabont,Tim Robbins,Drama,9.3
6,Das Streben nach Glück,2006,117,Gabriele Muccino,Will Smith,"Biography, Drama",8.0
7,Die sieben Samurai,1954,207,Akira Kurosawa,Toshirô Mifune,"Action, Drama",8.6
8,Ziemlich beste Freunde,2011,112,Olivier Nakache,Éric Toledano,"Comedy, Drama",8.5
9,Central Station,1998,108,Walter Salles,Fernanda Montenegro,Drama,8.0
10,Requiem for a Dream,2000,102,Darren Aronofsky,Ellen Burstyn,Drama,8.3
11,A Beautiful Mind: Genie und Wahnsinn,2001,135,Ron Howard,Russell Crowe,"Biography, Drama, Mystery",8.2
12,Hachiko - Eine wunderbare Freundschaft,2009,93,Lasse Hallström,Richard Gere,"Biography, Drama, Family",8.1
13,96 Hours,2008,90,Pierre Morel,Liam Neeson,"Action, Crime, Thriller",7.7
14,Miss Unerhört!,2001,137,Jae-young Kwak,Cha Tae-hyun,"Comedy, Drama, Romance",8.0
15,Amores perros,2000,154,Alejandro G. Iñárritu,Emilio Echevarría,"Drama, Thriller",8.1
16,Shining,1980,146,Stanley Kubrick,Jack Nicholson,"Drama, Horror",8.4
17,Apocalypto,2006,139,Mel Gibson,Gerardo Taracena,"Action, Adventure, Drama",7.8
18,Gladiator,2000,155,Ridley Scott,Russell Crowe,"Action, Adventure, Drama",8.5
19,Cast Away - Verschollen,2000,143,Robert Zemeckis,Tom Hanks,"Adventure, Drama, Romance",7.8
20,The Dark Knight,2008,152,Christopher Nolan,Christian Bale,"Action, Crime, Drama",9.0
21,Der Pianist,2002,150,Roman Polanski,Adrien Brody,"Biography, Drama, Music",8.5
22,Titanic,1997,194,James Cameron,Leonardo DiCaprio,"Drama, Romance",7.9
23,Bin-Jip - Leere Häuser,2004,88,Kim Ki-duk,Lee Seung-yun,"Crime, Drama, Romance",7.9
24,Braveheart,1995,178,Mel Gibson,Mel Gibson,"Biography, Drama, War",8.3
25,Ist das Leben nicht schön?,1946,130,Frank Capra,James Stewart,"Drama, Family, Fantasy",8.6
26,"Frühling, Sommer, Herbst, Winter... und Frühling",2003,103,Kim Ki-duk,Kim Ki-duk,"Drama, Romance",8.0
27,Alien - Das unheimliche Wesen aus einer fremden Welt,1979,117,Ridley Scott,Sigourney Weaver,"Horror, Sci-Fi",8.5
28,Memories of Murder,2003,131,Bong Joon Ho,Song Kang-ho,"Crime, Drama, Mystery",8.1
29,Die Rückkehr,2003,110,Andrey Zvyagintsev,Vladimir Garin,Drama,7.9
30,I Saw the Devil,2010,144,Jee-woon Kim,Lee Byung-hun,"Action, Crime, Thriller",7.8
31,Kinder des Himmels,1997,89,Majid Majidi,Mohammad Amir Naji,"Drama, Family, Sport",8.2
32,Nader und Simin - eine Trennung,2011,123,Asghar Farhadi,Payman Maadi,Drama,8.3
33,The Sixth Sense - Nicht jede Gabe ist ein Segen,1999,107,M. Night Shyamalan,Bruce Willis,"Drama, Mystery, Thriller",8.2
34,Nae meorisokui jiwoogae,2004,117,Park Kyung-Jin,John H. Lee,"Drama, Romance",8.1
35,Nokan - Die Kunst des Ausklangs,2008,130,Yôjirô Takita,Masahiro Motoki,Drama,8.0
36,Heimweg,1999,89,Yimou Zhang,Ziyi Zhang,"Drama, Romance",7.8
37,Der Soldat James Ryan,1998,169,Steven Spielberg,Tom Hanks,"Drama, War",8.6
38,Die Brücke am Kwai,1957,161,David Lean,William Holden,"Adventure, Drama, War",8.1
39,Ben Hur,1959,212,William Wyler,Charlton Heston,"Adventure, Drama",8.1
40,Der Exorzist,1973,122,William Friedkin,Ellen Burstyn,Horror,8.1
41,In ihren Augen,2009,129,Juan José Campanella,Ricardo Darín,"Drama, Mystery, Romance",8.2
42,Léon: Der Profi,1994,110,Luc Besson,Jean Reno,"Action, Crime, Drama",8.5
43,The Green Mile,1999,189,Frank Darabont,Tom Hanks,"Crime, Drama, Fantasy",8.6
44,Gran Torino,2008,116,Clint Eastwood,Clint Eastwood,Drama,8.1
45,Kill Bill - Vol. 1,2003,111,Quentin Tarantino,Uma Thurman,"Action, Crime, Thriller",8.2
46,Jurassic Park,1993,127,Steven Spielberg,Sam Neill,"Action, Adventure, Sci-Fi",8.2
47,Terminator 2: Tag der Abrechnung,1991,137,James Cameron,Arnold Schwarzenegger,"Action, Adventure, Sci-Fi",8.6
48,Zurück in die Zukunft,1985,116,Robert Zemeckis,Michael J. Fox,"Adventure, Comedy, Sci-Fi",8.5
49,Findet Nemo,2003,100,Andrew Stanton,Lee Unkrich,"Animation, Adventure, Comedy",8.2
